id,entry_type,target_audience,role,region,question,answer,ml_tag
920,mock_interview,all_job_seekers,Data Analyst,Africa,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
921,resume_rewrite,all_job_seekers,UX Designer,Global Remote,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
922,mock_interview,all_job_seekers,Software Engineer,Africa,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
923,ats_keywords,all_job_seekers,Data Analyst,US/EU,What ATS keywords should a Data Analyst include for roles in US/EU?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
924,ats_keywords,all_job_seekers,Product Manager,Global Remote,What ATS keywords should a Product Manager include for roles in Global Remote?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
925,resume_rewrite,all_job_seekers,Software Engineer,Africa,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
926,career_qa,all_job_seekers,Marketing Analyst,US/EU,What is the best way for a new job seeker to break into a Marketing Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
927,resume_rewrite,all_job_seekers,Product Manager,US/EU,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
928,mock_interview,all_job_seekers,Marketing Analyst,Africa,Mock interview question for an entry-level Marketing Analyst role.,"Describe a project where you applied relevant skills for a Marketing Analyst. Focus on problem, action, and result.",finetuning
929,ats_keywords,all_job_seekers,Marketing Analyst,Global Remote,What ATS keywords should a Marketing Analyst include for roles in Global Remote?,"Include keywords such as marketing analyst, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
930,mock_interview,all_job_seekers,Product Manager,Global Remote,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
931,ats_keywords,all_job_seekers,Data Analyst,US/EU,What ATS keywords should a Data Analyst include for roles in US/EU?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
932,career_qa,all_job_seekers,UX Designer,Africa,What is the best way for a new job seeker to break into a UX Designer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
933,career_qa,all_job_seekers,UX Designer,Global Remote,What is the best way for a new job seeker to break into a UX Designer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
934,ats_keywords,all_job_seekers,IT Support,Global Remote,What ATS keywords should a IT Support include for roles in Global Remote?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
935,career_qa,all_job_seekers,UX Designer,Africa,What is the best way for a new job seeker to break into a UX Designer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
936,ats_keywords,all_job_seekers,Product Manager,US/EU,What ATS keywords should a Product Manager include for roles in US/EU?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
937,career_qa,all_job_seekers,UX Designer,Africa,What is the best way for a new job seeker to break into a UX Designer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
938,resume_rewrite,all_job_seekers,UX Designer,Global Remote,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
939,mock_interview,all_job_seekers,Software Engineer,Africa,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
940,ats_keywords,all_job_seekers,Product Manager,Global Remote,What ATS keywords should a Product Manager include for roles in Global Remote?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
941,resume_rewrite,all_job_seekers,Data Analyst,Global Remote,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
942,mock_interview,all_job_seekers,IT Support,Global Remote,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
943,ats_keywords,all_job_seekers,IT Support,Global Remote,What ATS keywords should a IT Support include for roles in Global Remote?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
944,resume_rewrite,all_job_seekers,UX Designer,Global Remote,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
945,resume_rewrite,all_job_seekers,Software Engineer,Global Remote,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
946,mock_interview,all_job_seekers,Software Engineer,Global Remote,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
947,resume_rewrite,all_job_seekers,Data Analyst,US/EU,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
948,mock_interview,all_job_seekers,Product Manager,Global Remote,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
949,mock_interview,all_job_seekers,IT Support,US/EU,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
950,ats_keywords,all_job_seekers,UX Designer,Global Remote,What ATS keywords should a UX Designer include for roles in Global Remote?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
951,ats_keywords,all_job_seekers,Product Manager,US/EU,What ATS keywords should a Product Manager include for roles in US/EU?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
952,career_qa,all_job_seekers,IT Support,Africa,What is the best way for a new job seeker to break into a IT Support role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
953,resume_rewrite,all_job_seekers,Software Engineer,Global Remote,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
954,career_qa,all_job_seekers,Software Engineer,Global Remote,What is the best way for a new job seeker to break into a Software Engineer role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
955,resume_rewrite,all_job_seekers,Software Engineer,US/EU,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
956,ats_keywords,all_job_seekers,Software Engineer,Africa,What ATS keywords should a Software Engineer include for roles in Africa?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
957,resume_rewrite,all_job_seekers,Software Engineer,US/EU,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
958,ats_keywords,all_job_seekers,Data Analyst,Global Remote,What ATS keywords should a Data Analyst include for roles in Global Remote?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
959,career_qa,all_job_seekers,Marketing Analyst,US/EU,What is the best way for a new job seeker to break into a Marketing Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
960,ats_keywords,all_job_seekers,Software Engineer,US/EU,What ATS keywords should a Software Engineer include for roles in US/EU?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
961,career_qa,all_job_seekers,Marketing Analyst,Africa,What is the best way for a new job seeker to break into a Marketing Analyst role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
962,ats_keywords,all_job_seekers,Product Manager,Global Remote,What ATS keywords should a Product Manager include for roles in Global Remote?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
963,mock_interview,all_job_seekers,IT Support,Africa,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
964,ats_keywords,all_job_seekers,Product Manager,US/EU,What ATS keywords should a Product Manager include for roles in US/EU?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
965,mock_interview,all_job_seekers,Marketing Analyst,Africa,Mock interview question for an entry-level Marketing Analyst role.,"Describe a project where you applied relevant skills for a Marketing Analyst. Focus on problem, action, and result.",finetuning
966,ats_keywords,all_job_seekers,IT Support,Africa,What ATS keywords should a IT Support include for roles in Africa?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
967,career_qa,all_job_seekers,IT Support,US/EU,What is the best way for a new job seeker to break into a IT Support role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
968,mock_interview,all_job_seekers,Data Analyst,Global Remote,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
969,mock_interview,all_job_seekers,UX Designer,US/EU,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
970,career_qa,all_job_seekers,IT Support,Africa,What is the best way for a new job seeker to break into a IT Support role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
971,ats_keywords,all_job_seekers,Marketing Analyst,Africa,What ATS keywords should a Marketing Analyst include for roles in Africa?,"Include keywords such as marketing analyst, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
972,resume_rewrite,all_job_seekers,Product Manager,Global Remote,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
973,mock_interview,all_job_seekers,IT Support,Africa,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
974,resume_rewrite,all_job_seekers,Data Analyst,Africa,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
975,resume_rewrite,all_job_seekers,Product Manager,Global Remote,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
976,ats_keywords,all_job_seekers,UX Designer,Global Remote,What ATS keywords should a UX Designer include for roles in Global Remote?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
977,ats_keywords,all_job_seekers,IT Support,US/EU,What ATS keywords should a IT Support include for roles in US/EU?,"Include keywords such as it support, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
978,ats_keywords,all_job_seekers,Data Analyst,Global Remote,What ATS keywords should a Data Analyst include for roles in Global Remote?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
979,mock_interview,all_job_seekers,UX Designer,US/EU,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
980,resume_rewrite,all_job_seekers,UX Designer,Global Remote,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
981,mock_interview,all_job_seekers,Data Analyst,Africa,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
982,resume_rewrite,all_job_seekers,UX Designer,Global Remote,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
983,mock_interview,all_job_seekers,Marketing Analyst,Africa,Mock interview question for an entry-level Marketing Analyst role.,"Describe a project where you applied relevant skills for a Marketing Analyst. Focus on problem, action, and result.",finetuning
984,ats_keywords,all_job_seekers,Marketing Analyst,Africa,What ATS keywords should a Marketing Analyst include for roles in Africa?,"Include keywords such as marketing analyst, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
985,career_qa,all_job_seekers,Software Engineer,US/EU,What is the best way for a new job seeker to break into a Software Engineer role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
986,career_qa,all_job_seekers,Software Engineer,US/EU,What is the best way for a new job seeker to break into a Software Engineer role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
987,ats_keywords,all_job_seekers,Data Analyst,Global Remote,What ATS keywords should a Data Analyst include for roles in Global Remote?,"Include keywords such as data analyst, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
988,resume_rewrite,all_job_seekers,UX Designer,Global Remote,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
989,career_qa,all_job_seekers,IT Support,Global Remote,What is the best way for a new job seeker to break into a IT Support role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
990,ats_keywords,all_job_seekers,UX Designer,US/EU,What ATS keywords should a UX Designer include for roles in US/EU?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
991,ats_keywords,all_job_seekers,UX Designer,Africa,What ATS keywords should a UX Designer include for roles in Africa?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
992,career_qa,all_job_seekers,Product Manager,Africa,What is the best way for a new job seeker to break into a Product Manager role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
993,ats_keywords,all_job_seekers,Product Manager,Africa,What ATS keywords should a Product Manager include for roles in Africa?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
994,career_qa,all_job_seekers,UX Designer,US/EU,What is the best way for a new job seeker to break into a UX Designer role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
995,ats_keywords,all_job_seekers,Product Manager,Global Remote,What ATS keywords should a Product Manager include for roles in Global Remote?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
996,resume_rewrite,all_job_seekers,UX Designer,US/EU,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
997,mock_interview,all_job_seekers,UX Designer,Africa,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
998,resume_rewrite,all_job_seekers,IT Support,US/EU,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
999,mock_interview,all_job_seekers,Data Analyst,US/EU,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
1000,resume_rewrite,all_job_seekers,Product Manager,Africa,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1001,resume_rewrite,all_job_seekers,Software Engineer,Global Remote,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1002,career_qa,all_job_seekers,IT Support,Global Remote,What is the best way for a new job seeker to break into a IT Support role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1003,resume_rewrite,all_job_seekers,Product Manager,US/EU,Rewrite this resume bullet for a Product Manager: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1004,ats_keywords,all_job_seekers,UX Designer,Africa,What ATS keywords should a UX Designer include for roles in Africa?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
1005,ats_keywords,all_job_seekers,UX Designer,US/EU,What ATS keywords should a UX Designer include for roles in US/EU?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
1006,career_qa,all_job_seekers,Marketing Analyst,US/EU,What is the best way for a new job seeker to break into a Marketing Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1007,ats_keywords,all_job_seekers,UX Designer,Africa,What ATS keywords should a UX Designer include for roles in Africa?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
1008,mock_interview,all_job_seekers,IT Support,Africa,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
1009,mock_interview,all_job_seekers,Software Engineer,Africa,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
1010,ats_keywords,all_job_seekers,Marketing Analyst,US/EU,What ATS keywords should a Marketing Analyst include for roles in US/EU?,"Include keywords such as marketing analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
1011,mock_interview,all_job_seekers,Data Analyst,Africa,Mock interview question for an entry-level Data Analyst role.,"Describe a project where you applied relevant skills for a Data Analyst. Focus on problem, action, and result.",finetuning
1012,mock_interview,all_job_seekers,Software Engineer,US/EU,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
1013,resume_rewrite,all_job_seekers,IT Support,Africa,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1014,mock_interview,all_job_seekers,IT Support,US/EU,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
1015,career_qa,all_job_seekers,Marketing Analyst,US/EU,What is the best way for a new job seeker to break into a Marketing Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1016,career_qa,all_job_seekers,Marketing Analyst,Africa,What is the best way for a new job seeker to break into a Marketing Analyst role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1017,ats_keywords,all_job_seekers,Product Manager,Africa,What ATS keywords should a Product Manager include for roles in Africa?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
1018,career_qa,all_job_seekers,UX Designer,Africa,What is the best way for a new job seeker to break into a UX Designer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1019,mock_interview,all_job_seekers,Product Manager,Global Remote,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
1020,mock_interview,all_job_seekers,Product Manager,US/EU,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
1021,resume_rewrite,all_job_seekers,Data Analyst,Africa,Rewrite this resume bullet for a Data Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1022,mock_interview,all_job_seekers,Marketing Analyst,Global Remote,Mock interview question for an entry-level Marketing Analyst role.,"Describe a project where you applied relevant skills for a Marketing Analyst. Focus on problem, action, and result.",finetuning
1023,ats_keywords,all_job_seekers,Software Engineer,Africa,What ATS keywords should a Software Engineer include for roles in Africa?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
1024,resume_rewrite,all_job_seekers,Software Engineer,US/EU,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1025,mock_interview,all_job_seekers,Software Engineer,Global Remote,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
1026,career_qa,all_job_seekers,Data Analyst,Africa,What is the best way for a new job seeker to break into a Data Analyst role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1027,ats_keywords,all_job_seekers,Product Manager,Global Remote,What ATS keywords should a Product Manager include for roles in Global Remote?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
1028,career_qa,all_job_seekers,IT Support,US/EU,What is the best way for a new job seeker to break into a IT Support role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1029,ats_keywords,all_job_seekers,Marketing Analyst,US/EU,What ATS keywords should a Marketing Analyst include for roles in US/EU?,"Include keywords such as marketing analyst, core tools, methodologies, and certifications commonly listed in US/EU-based job postings.",finetuning
1030,mock_interview,all_job_seekers,Software Engineer,Global Remote,Mock interview question for an entry-level Software Engineer role.,"Describe a project where you applied relevant skills for a Software Engineer. Focus on problem, action, and result.",finetuning
1031,resume_rewrite,all_job_seekers,Marketing Analyst,Africa,Rewrite this resume bullet for a Marketing Analyst: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1032,ats_keywords,all_job_seekers,UX Designer,Global Remote,What ATS keywords should a UX Designer include for roles in Global Remote?,"Include keywords such as ux designer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
1033,ats_keywords,all_job_seekers,Product Manager,Africa,What ATS keywords should a Product Manager include for roles in Africa?,"Include keywords such as product manager, core tools, methodologies, and certifications commonly listed in Africa-based job postings.",finetuning
1034,resume_rewrite,all_job_seekers,IT Support,Global Remote,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1035,resume_rewrite,all_job_seekers,IT Support,US/EU,Rewrite this resume bullet for a IT Support: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1036,career_qa,all_job_seekers,Marketing Analyst,US/EU,What is the best way for a new job seeker to break into a Marketing Analyst role in US/EU?,"In US/EU, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1037,mock_interview,all_job_seekers,Product Manager,Global Remote,Mock interview question for an entry-level Product Manager role.,"Describe a project where you applied relevant skills for a Product Manager. Focus on problem, action, and result.",finetuning
1038,mock_interview,all_job_seekers,UX Designer,Global Remote,Mock interview question for an entry-level UX Designer role.,"Describe a project where you applied relevant skills for a UX Designer. Focus on problem, action, and result.",finetuning
1039,mock_interview,all_job_seekers,IT Support,US/EU,Mock interview question for an entry-level IT Support role.,"Describe a project where you applied relevant skills for a IT Support. Focus on problem, action, and result.",finetuning
1040,career_qa,all_job_seekers,Marketing Analyst,Global Remote,What is the best way for a new job seeker to break into a Marketing Analyst role in Global Remote?,"In Global Remote, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
1041,ats_keywords,all_job_seekers,Software Engineer,Global Remote,What ATS keywords should a Software Engineer include for roles in Global Remote?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
1042,resume_rewrite,all_job_seekers,Software Engineer,Global Remote,Rewrite this resume bullet for a Software Engineer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1043,ats_keywords,all_job_seekers,Software Engineer,Global Remote,What ATS keywords should a Software Engineer include for roles in Global Remote?,"Include keywords such as software engineer, core tools, methodologies, and certifications commonly listed in Global Remote-based job postings.",finetuning
1044,resume_rewrite,all_job_seekers,UX Designer,US/EU,Rewrite this resume bullet for a UX Designer: 'Worked on projects and helped the team.',"Bad: Worked on projects and helped the team. | Good: Collaborated with a 4-person team to deliver 3 role-specific projects, meeting all deadlines and improving output quality.",finetuning
1045,career_qa,all_job_seekers,UX Designer,Africa,What is the best way for a new job seeker to break into a UX Designer role in Africa?,"In Africa, focus on role-relevant skills, entry-level projects, internships, and networking. Tailor applications to local hiring norms and emphasize measurable outcomes.",finetuning
